Names,Subscribers,Views,Videos,id,Date
b'Nature Trust',175,54532,80,UC4EzTvJGDAoSvcN2hDQFMiQ,2008-02-11T18:09:00Z
b'Natures Garden',13600,642762,1818,UCRZG9MMIrjsYrcZQ5Pjn1xw,2006-11-30T17:25:52Z
b'NATURE farm',483000,28370656,256,UCr_m1cBgstfAZ3Xjuxu9Xrw,2018-03-30T11:45:17Z
b'Calmed By Nature',464000,64866173,113,UCJuMbdKSMThk2RpALASyXVQ,2017-01-02T04:17:22Z
b'Sanctuary Nature Foundation',7500,2069418,182,UCpPJW1Hi1Kowg_Y2yZHIX3A,2010-02-02T05:56:07Z
b'Nature Nel',1810,154111,66,UCOKgEqemi0ZBcvzgxjAibhQ,2021-03-17T21:56:43.716291Z
b'Poorna - The nature girl',515000,70963146,43,UCtVDQNGBmS8DTP5fPzM_GmQ,2016-12-04T12:56:19Z
b'nature video',649000,113272828,488,UC7c8mE90qCtu11z47U0KErg,2008-11-07T12:07:29Z
b'Nature Unplugged',37,3082,77,UCVEZOv9fmMLndP_Gzdba4eA,2016-04-15T23:13:35Z
b'Explore Nature',555,116203,216,UCP3fwGytW8yNuJvVXcEMO3g,2015-04-16T16:37:28Z
b'Nature & Autonomie',1700,54169,1,UCeHxv_fY6SsCQukZPVZ2Ikw,2021-01-04T09:10:29.411441Z
b'AS Nature',0,5,2,UCB4xRHYaa-mQKJGGoNyflOg,2021-10-29T04:41:28.108167Z
b'Tints of Nature Global',350,107397,37,UC9A1C9WXwhywpBPJyjoC-rg,2010-12-07T14:24:41Z
b'\xe9\x97\x9c\xe6\xb8\xa1\xe8\x87\xaa\xe7\x84\xb6\xe5\x85\xac\xe5\x9c\x92 Guandu Nature Park',144,42283,47,UCmUBk7ZXFO-Q8kuy5QgexjA,2014-07-17T07:42:56Z
b'Health & Nature THC Television',16700,4317054,160,UCkEwfZtd40x6ERhXpK5m_zw,2014-10-26T15:11:36Z
b'P\xc3\xb4le ressources national sports de nature',348,36948,80,UCFq-WUC-MRhIUM50kci26wQ,2014-10-23T08:57:24Z
b'The Nature Conservancy in Washington',314,49889,81,UClfw-RgQVLgyKNqD8NV_CvQ,2015-11-05T17:48:54Z
b'Nature Walks with Judy',357,192767,295,UCAlszWKnpyeh1HK9Vv9XFKQ,2011-11-01T11:41:35Z
b'SFL Nature',541,43016,119,UCVvqa974JZOMkpQfTp9qovw,2013-03-19T02:23:29Z
b'NAQ Nature Aquarium Quebec',3560,246317,13,UCPE2r9P9IVXV83zBN20zHhA,2018-11-03T23:32:04Z
b'Rester nature - Laurent Winsback',1500,96255,59,UC_KSEOiQCuGnIqYJgwGL6Eg,2017-05-02T12:07:47Z
b'English with nature lk',2670,40371,51,UCvDObss8uC1iyXQrTlbwdxw,2020-08-08T16:39:09.902673Z
b'Lancaster Conservancy',2940,789545,94,UChFCefqUZk-m-4j91luSdeA,2013-12-13T20:49:21Z
b'Explore Africa',155000,53727331,128,UCiGOIXjFqy5_mUNxQNOMfHw,2015-04-13T18:19:21Z
b'Field AND Nature LOVERS',96300,29124078,624,UC7uFA3xKekGuv69L4HkXYaw,2015-12-15T15:58:33Z
"b""Nature's Courtyard!""",317,131393,45,UCuON2GHphl4kG6dFYw4qJAw,2019-02-18T23:47:09Z
b'Les Cueillettes Sauvages de Will - Guide Nature',1700,63683,5,UCXv3oLSjmjAHfxSHCcCcouA,2017-09-16T18:32:01Z
